tid;b_m;capex;d_phi;d_v;g_m;id;opex;r_sc;s_rated;tap_max;tap_min;tap_neutr;tap_side;v_hv;v_lv;x_sc
12105;0;0;0;1.77777802944183;0;transformer_type_aaI3128248cc56358f42961396184a853ebedae0ca7386c8c9edfb80596626b86b7a;0;0;16000;19;1;10;f;30;10;4.55625021457672
12108;0;0;0;-2.5;0;transformer_type_bt93835d89cf672cdcd5f9773b15510261c193b57759f28a79626f721fc44d03c9i;0;0.00411922549628015;629.999995231628;3;1;2;f;10;0.400000005960464;6.50793510217658
12110;0;0;0;-2.5;0;transformer_type_deI2e5c1d1c45cfbaaf465a65ca32353c11f3373b79a4a2af42f86eee462a4f4e66ahne;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;9.99998370717667
12112;0;0;0;1.77777802944183;0;transformer_type_tgd2181193ce796288042cdc52fb830ecb98ae92220c236013637a8961c15675f6Ga;0;0;40000;19;1;10;f;110;10;51.425
12115;0;0;0;-3;0;transformer_type_e97b34c4e5875fe33dc0d21a7dda888908dd05420d599dd2a4d0acd7995ae50c7ehe;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;15.6208782154049
12117;0;0;0;-4;0;transformer_type_biemic4aa689c447c1c744d433390519d658e25db07314df5e25c4ce5dc27d79306d0t;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;39.5613129681567
12118;0;0;0;-4;0;transformer_type_ed66bd28ab2167ae71c0c6fb90e9ba49de8af71d3f290c85d19b02b3e431bd56e5nba;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;16.2797880857489
12119;0;0;0;-4;0;transformer_type_eei9aac9b488a932420e6e1831a734d5dd97aa3b9ccfcf05bbdff2378a0cfbe4b58m;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;10.7499852991527
12120;0;0;0;-2.5;0;transformer_type_G5d5257b1f8abfda3bf27d9ba5ba8294375f69c199b3ac84d5098c9c8337f9cbedeeb;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;15.1997721022841
12123;0;0;0;-2.5;0;transformer_type_nbe4d258ed9384c7069feff3a667c7b40b8262097b2a0164fedf0c2ae7064292308et;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;26.3100532126734
12125;0;0;0;-2;0;transformer_type_dergr1ad26c0e13324c3bda2c732bd7aca92058864a05c9b27eb42e877f6d2d5d5f95rd;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;26.2475459524351
12126;0;0;0;0;0;transformer_type_dbadiiec15036fe7515ce7d57fe7d5d0bf70d3bb6d4038ab59500452f4e128b3b16ee6;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;37.0587032634938
12127;0;0;0;0.625;0;transformer_type_gacced4715483c03a5d57171a248f2a6f3ba8aef22c5ccad7942cc9e365f54705deane;0;0.27944224029541;25000;16;-16;0;t;110;20;58.0793277512261
12129;1269.41157236796;0;0;1.5;554.016620498615;transformer_type_rlbi749448b5e44660b245a10604f36621cb4fe578776e8ea0baaa088cd450b0334ari;0;5.415;200000;5;-5;0;f;380;110;108.164540284698
12131;0;0;0;0.5;0;transformer_type_ti4e3e8b28c8b7465bdbe3a2bc1ce0d84649002b72dad285a36a7c2fc188ed6998be;0;24.999999254942;400.000005960464;19;1;10;f;20;0.400000005960464;31.2249898249653
12132;0;0;0;-2.5;0;transformer_type_n927edd582ad51bf30990303da21f5e7b07c089418f9a5c0a65e9ceb06c0cc9b7em;0;0.0832000017166138;250;2;1;2;f;10;0.400000005960464;15.3197737714735
12135;0;0;0;-2;0;transformer_type_nebb510dcfd1002f325303c683cda42deea53da0133d195136d3072f2e1c4a46c4laI;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;9.99998370717667
12137;1385.04157188526;0;0;1.5;0;transformer_type_aintfbb4b508d9f401abb39da875e4cf56f05d346abb8f8d746f4c24fb19beed0e93lrl;0;5.415;200000;5;-5;0;f;380;110;108.164540284698
12139;0;0;0;-4;0;transformer_type_e805c86009bdc500f57d750ce64ca8bd3cf495020403bce10016136b2045a7515r;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;14.7997663294211
12140;0;0;0;-4;0;transformer_type_ri645d7212074a5120be0580346fbc60bb2d825a15df7b9c0b6d614bf44785e022en;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;16.9962119104687
12142;0;0;0;-2;0;transformer_type_hmgd68b0f53853b5da2d05feec0e76ff0af462c7b88fbd67ed34da20181d78c89d27ilie;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;40.9626338507164
12145;0;0;0;-2.5;0;transformer_type_ntg028c8554fec9516adaa17b5716f81b098af78ba20002721c9b69665dd69fe332r;0;0;400.000005960464;3;1;2;f;10;0.400000005960464;9.99999985098839
12147;0;0;0;-2.5;0;transformer_type_ert52e1362ae907cc9f8edb50edbf461ab44f24ad0f5d71d1aedfabd5e8c89e3447na;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;37.4591438553704
12148;0;0;0;-2.5;0;transformer_type_bbnb9d01817cb8fa450b038df25518445c3ece23a123a602e6b87f75f5287ef5ff7;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;15.0397698324227
12153;0;0;0;1.77778005599976;0;transformer_type_een146349058c1f8e8e7886ff65385cae171d98eec58eafa1d7741163fbd6e2df90a;0;0;16000;19;1;10;f;30;10;4.38750010728836
12154;0;0;0;1.5;0;transformer_type_nei9720c77ddf8926d6c1af38c6bb88b6ab9dec373404493f9ac1b569b5c3c3f53creg;0;0;16000;19;1;10;f;30;10.5;4.5
12155;0;0;0;-2.5;0;transformer_type_l01c34b1da8c43b1000ae1e21e2548f43f58eb154f553ca461a5421a654980f5eb;0;0.00411922549628015;629.999995231628;3;1;2;f;10;0.400000005960464;5.904760558059
12157;0;0;0;-4;0;transformer_type_rr76c8d02f3fc8479b3eb6510afe0179992760baffe9daf7ae5f48d69df875718dtb;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;38.960717772445
12158;0;0;0;1.5;0;transformer_type_nr1e7094a3a619f0af9f5d718f35eca49ba257b77254cbd2813abf99a8c62be90dr;0;0;16000;19;1;10;f;30;10.5;4.3875
12160;0;0;0;-2.5;0;transformer_type_td452e0794da7fccaa2ab98fd2049c8fef1784e6f58a96136486d2958783a9676eeafbe;0;0;159.999996423721;3;1;2;f;10;0.400000005960464;23.8750001164153
12166;0;0;0;-2;0;transformer_type_ie5dba43ee4df6b76aa378d376c95c95ef045977eeceba12da1eff05fba25f7b95nnIi;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;16.7997932167318
12167;0;0;0;-2;0;transformer_type_le3a497de6f416f89a7193d708b0c19f8f0edff8c6ae81522c71dd7f085f8bcbefhi;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;23.7472885055543
12171;0;0;0;-4;0;transformer_type_rh7eae51406179b9db32ffc1942ebafae136637ef2b3ba25aeaa3f6ba71a95e64brmi;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;15.7597806131326
12173;0;0;0;-2.5;0;transformer_type_n1a91328f56b5641804e9ee9b51dbbd5b8d8ac5c839411f56c726e7f3ca10af69r;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;36.9585916232399
12183;0;10;0;0.5;0;MS-NS_1;0;10.078;630;10;-10;0;f;20;0.4;23.312
12184;0;0;0;-2.5;0;transformer_type_bbc357d153eee11c384b06e6f1b09d20df7b6c312f09818b194fbb73040435e4ebnel;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;17.0397977969484
12189;0;0;0;-2.5;0;transformer_type_nfim78ce8d6ef8e0eef740e9ef708e3ee8f5c90a90866d46390b2eabbc0ae975ef8fbaIg;0;0.444444444444444;150;3;1;2;f;10;0.400000005960464;26.4629349029256
12201;0;0;0;-2.5;0;transformer_type_73fa48041c0c6cb443cbef30888e20839c361fa479112359a4329571e60af4a6r;0;0.0179687497904524;400.000005960464;2;1;2;f;10;0.400000005960464;10.3499839141016
12203;0;0;0;1.5;0;transformer_type_72bfe40e9d676ec4c371abaebb647c3ce6f0ec5def3784c81aed1c44f2e0583brrena;0;0;40000;19;1;10;f;110;11;51.425
12205;0;0;0;-4;0;transformer_type_teeeeefbad07211a4437664c594594a8f97147997538f5745dc7d8778db47997d9229iei;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;40.5622657737321
12206;0;0;0;-2.5;0;transformer_type_rhi9b8f4b566817924a7bcebbc3452f24ce7a16016886f467d284190f1e43e276eaignh;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;39.3611165887432
12207;0;0;0;-4;0;transformer_type_dgth2e9e079b5e731ddc93fb92e207c00936a1c479876aefb40c6522759e258280a0;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;38.4602051824927
12208;0;0;0;-2.5;0;transformer_type_e5d93634b59593f549e8a04e6aa25c61968aa152418c6f5d8be5ecf6e5a0e3cadnet;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;38.8606167836426
12209;0;0;0;1.5;0;transformer_type_neIhbb620f5ed2c27e5ddf74792cb4bf1a3c092e0a01376a8f08fccb6800425a57dbe;0;0;40000;19;1;10;f;110;11;49.61
12211;0;0;0;-4;0;transformer_type_e9872896dda78b36de5eed5fefd29632263f68011dbca49cd730002425dfa48c0ie;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;36.9585916232399
12212;0;0;0;1.5;0;transformer_type_aed472bcb80597c9872efcf387b028d19391c9a4c48fa76d35ac968ffa697a0efa;0;0;40000;19;1;10;f;110;30;31.1575
12214;0;0;0;0;0;transformer_type_cigreconnected_industrial;0;15.442;150;0;0;0;f;20;0.4;109.9012
12143;0;0;0;0.5;0;transformer_type_b130dfc1ff71fed49834cf5cc1bf6143be4a2b51a61923728f25bb715d8f97e57r;0;10.0781054687598;629.999995231628;19;1;10;f;20;0.400000005960464;23.3115966883691
12144;0;0;0;-2.5;0;transformer_type_dg1f146189703f1f9df45f8f3bb4cd5e6e0faffaac8e75a4157429bfe1ac00730afhn;0;1.74999991804362;100.000001490116;2;1;2;f;10;0.400000005960464;40.5622657737321
12146;0;0;0;-2.5;0;transformer_type_nd0eb89f745d4e4d78efd0eecda6cc30f7528c5e9ec1f034b8c328ba89514ed5dh;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;14.5997633165278
12149;0;0;0;-2.5;0;transformer_type_lb78ce8d6ef8e0eef740e9ef708e3ee8f5c90a90866d46390b2eabbc0ae975ef8fI;0;100;100;3;1;2;f;10;0.400000005960464;NaN
12150;0;0;0;-2;0;transformer_type_tei34f9b27042737e7ec3ed9b5c1b360bb17478575d16e88569960c0f2564395f74;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;39.961699821243
12151;0;0;0;-2.5;0;transformer_type_gng6062070eba6fb7820794fe63aace313627a6144464dfe863cbdcc399892d8d14rebb;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;36.4580242223976
12152;0;0;0;-2.5;0;transformer_type_nrb572cf014b1134c039e49d1ff058b3f25ac6ee281dc325f043809cbc66c59c991ina;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;15.3597743216767
12156;0;0;0;-2;0;transformer_type_fi4f44a9e4a0064fba6dfd2b4275fbbacb3717fff406496c1bbe3f3d304bf65229rm;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;16.3997885732563
12159;0;0;0;-4;0;transformer_type_dene161d607304dc5d33aee3da4dfa7b3fb0bcbc6be565b58dd2f106b3347cc69aan;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;10.2749844689389
12161;0;0;0;-4;0;transformer_type_i726e2d7fe46a7a93c824dfe944a3a22c69258d5081a62cdb8e440ca64a6c6194gbht;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;23.1222157890639
12162;0;0;0;-4;0;transformer_type_ebbb7d820c84cfef47d98156c8154d9d017b71c30ae407eedaa5b4073e927963adle;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;25.1849449269553
12163;0;0;0;-2;0;transformer_type_Gg663663a9790cc5de85a34ef577c1f662f18917d17cd7b67081df035e9a849641mdd;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;37.959681518852
12164;0;0;0;-2.5;0;transformer_type_t766ef2bd207ca4e54a6c76d240493bfbfec0b577b081fb8ea8332e3500e5a872b;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;16.3997885732563
12165;0;0;0;-4;0;transformer_type_ba04252ab00802cb464b3ae0d95dfaef3ba6288fec0bf2a230d495ce63ea2834fGtl;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;35.9574386323399
12168;0;0;0;-2.5;0;transformer_type_dn8fb6c6872fb09366c101b506197a92ff9c7911a7328bce391323d132252d2843h;0;0.00411922549628015;629.999995231628;3;1;2;f;10;0.400000005960464;6.30158604836703
12169;0;0;0;-4;0;transformer_type_efeId88a60bb4cd33cf1e714bf6f54df46b0286ea7e3a95b32ba1d4a3f9e5cdd8280err;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;10.7596785586397
12170;0;0;0;-2.5;0;transformer_type_n78ce8d6ef8e0eef740e9ef708e3ee8f5c90a90866d46390b2eabbc0ae975ef8flatd;0;999999.905005104;1.00000004749745;3;1;2;f;10;0.400000005960464;NaN
12172;0;0;0;-4;0;transformer_type_drnd8dbf574ccbca9561ac133464adb0c19e5b969f0b3cb6bb729948fbc8ccf3c65tet;0;0.124999998137355;200.000002980232;3;1;2;f;10;0.400000005960464;18.4995776606416
12174;0;0;0;-4;0;transformer_type_rh614cfa3d00d83caf20eaede7280452af2fe8dbd36ddbcd26db0921ba4c054deaei;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;15.9997836785287
12175;0;0;0;-2.5;0;transformer_type_ten8a857cb943141a4d142c5a8febdfaef08f227ea56c7206798155b09c3b79cc1beb;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;9.62498284536486
12176;0;0;0;-2.5;0;transformer_type_r427642c95fb276384311d96c965ef7b0c8567f94f38ab7fbf1ce6c9d6fcaaefemei;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;10.5499840160812
12177;0;0;0;0;0;transformer_type_idendec6d346215d047f6ab7a114f2b6a18ef5f3e08d547cee685032c9f52c7825f3h;0;4.61920013427734;500;0;0;0;f;20;0.400000005960464;32.6598408205034
12178;0;0;0;-2;0;transformer_type_Irme2dd9bf4865c4890610d6537b0e09e581fcae6680544440a799128db34e9560darI;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;10.2499838587846
12179;0;0;0;-2.5;0;transformer_type_e09df584957a11d2548e018647c535a2997a970d53a6a9582d38f0d7e1c6527fall;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;14.7997663294211
12180;0;0;0;-4;0;transformer_type_te9ed4004be5b04d36b88f1c90f0c6890efa6e935549725c335152cd9b48998405b;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;16.8397946216358
12181;0;0;0;1.77777802944183;0;transformer_type_ahncf3dca1d38a09c25f09858a603f940a75eb4643670fd608fcca2e656ca965551bhnb;0;0;16000;19;1;10;f;30;10;4.61249989271164
12182;0;0;0;-4;0;transformer_type_gnir85b6ed0797eda0be6173e642b46db1650c0886d3a1e7e247f6a94cdba5dfadf9t;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;15.1997721022841
12185;0;0;0;-4;0;transformer_type_n073b4345a05be4209ea5f6ccc613aed088b3d65c6b74c07d0de58477dcbe0f99dem;0;0.00411922549628015;629.999995231628;3;1;2;f;10;0.400000005960464;6.09523661322485
12186;0;0;0;-4;0;transformer_type_al7474e802acb43d546195a734a14b02f00aa0138cb5e6de3eb004a8f82f865063;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;23.8723025882592
12187;0;0;0;-4;0;transformer_type_2adac8ea1769fb9f918de80f99688dbb183db03005d7c1f78f34307056ae9f6ce;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;36.4580242223976
12188;0;0;0;-4;0;transformer_type_Iil937ce12650c3d64e92a3be2b691b29e821609fd54dc4f3e4162d2b1b28ff16f3lr;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;24.3723589527973
12190;0;0;0;-4;0;transformer_type_ed7f4560559d9d94d691b10ddbdbff322d9a0b8fc2a547839cbdbff1cdb476a1d4fe;0;0.00411922549628015;629.999995231628;3;1;2;f;10;0.400000005960464;6.41269707768278
12191;0;0;0;-4;0;transformer_type_bnn4c1989af18a35817c82828a7c96386a82343e4b4c70738c79f95f2d8d73693ecn;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;37.4591438553704
12192;0;0;0;-4;0;transformer_type_ree839b6bb1f41919867eba80344dfa42cf01c5b7dfb63b58ac2c71cb759f60bebdrrhr;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;24.1223303121721
12193;0;0;0;-2.5;0;transformer_type_inn8ed3a5ac2ed4d69e42a7943c751e2db6d99a42661779e960559dba2d326a1ceereg;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;9.74998353537636
12194;0;0;0;-4.5;0;transformer_type_IGeedeefb7011ce05983724101da1ab9ff0191c74b7ac959b96ca252c49072f20frd;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;15.8797821582778
12195;0;0;0;-2;0;transformer_type_Idffe6442a946b1cf7ea9718b91368b6e0068d7c1ad9158b8fdf56e0312920db4fe;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;15.5997785132216
12197;0;0;0;-4;0;transformer_type_ebb8047b9fca06284108257cee99a375dcd6b87c85a8dcf2a7bd1083f9c541756a;0;0.0415921825749431;314.999997615814;3;1;2;f;10;0.400000005960464;12.7935839482361
12198;0;0;0;1.77777802944183;0;transformer_type_erc49cfd5d5eea3f84c3123c66f31180e87942c5e900fbc47f48f90dfa05a4c383deei;0;0;16000;19;1;10;f;30;10;4.5
12199;0;0;0;-5;0;transformer_type_ir5766d650cc2ea0e031721c7edcef503f9a0e822a9d9c915a9d62926e7535cd7adt;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;15.1997721022841
12200;1.27;10;0;1.5;555.5;HöS-HS_1;0;5.415;200000;5;-5;0;f;380;110;108.165
12202;0;0;0;-2.5;0;transformer_type_ebmhbdd1433945cbd44865dcf9208506ea8be5976b70432bd26d306363903921e906dbe;0;0.00411922549628015;629.999995231628;3;1;2;f;10;0.400000005960464;6.42857046024719
12204;0;0;0;1.77778005599976;0;transformer_type_gedfi89fc7c895076ff25ec6d3b2e7ab9a1b24b37f73ecf30f895005d766a8d8d2774aa;0;0;40000;19;1;10;f;110;10;51.7275011539459
12210;0;0;0;-4;0;transformer_type_nrl2598ba1a9c2627b39856fc20db6c5ddb260ee2dd29fc811edf3cc837cdca8e71md;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;10.5999840398326
12213;0;0;0;-2;0;transformer_type_gh82e372aa9ee4005c4814a9f5635c5d7d17e54cd51d8d0531710088bee1919a66ln;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;15.9997836785287
12196;0;0;0;1.5;0;transformer_type_fec3d7725afa61cd99748c1bb90b360d39ca9c34b3476847da6d09212cdfc95441rG;0;4.5375;20000;10;-10;0;t;110;20;102.749859336887
